transaction_date,development,humanitarian_in_FTS,humanitarian_in_IATI,humanitarian
2020-11-04,11207690160.4489,2304605352.98507,1451335133.66269,6122527154
2020-11-05,11214775560.4489,2309480317.98507,1451335133.66269,6132019988
2020-11-06,11217959431.6504,2310755802.13711,1451335133.66269,6135752900
2020-11-09,11213656703.9139,2312341006.59661,1451335133.66269,6175328661
2020-11-10,11185434743.9139,2326188679.01406,1451343301.68749,6178835450
2020-11-11,11189912584.2524,2326188679.01406,1451343301.68749,6178835450
2020-11-12,11211656592.2524,2326192408.36307,1451343301.68749,6179753016
2020-11-13,11217058441.7794,2328192408.36307,1451343301.68749,6181753016
2020-11-14,11217058441.7794,2328192408.36307,1451343301.68749,6187957146
2020-11-16,11253021686.6898,2328448494.85404,1451343301.68749,6204759105
2020-11-17,11253021686.6898,2330518442.85008,1451343301.68749,6204759105
2020-11-18,11132400407.5556,2331692285.77488,1459262121.68749,6207561011
2020-11-19,11218971567.5556,2331700807.37,1471105121.68749,6207561011
2020-11-20,11219566967.5556,2331799281.2727,1471105121.68749,6210274439
2020-11-23,11216633860.5122,2331799281.2727,1471105121.68749,6298140289
2020-11-24,11231951393.2088,2332131933.42112,1471105121.68749,6338290442
2020-11-25,11235234247.4845,2333383192.03996,1471105121.68749,6339367384
2020-11-26,11258693006.2937,2333383192.03996,1478249921.68749,6339367384
2020-11-27,11264125763.3637,2335019443.03996,1478249921.68749,6341614885
2020-11-30,12141570605.0193,2655306723.59996,1710052789.62749,6342432190
2020-12-01,12162448444.9914,2655306723.59996,1717709687.53169,6362501639
2020-12-02,12205936253.2018,2655306723.59996,1717709687.53169,6368614952
2020-12-03,12214728703.9906,2655311550.87259,1717709687.53169,6373164758
2020-12-04,12216439633.2106,2659925510.87259,1717709687.53169,6373686442
2020-12-07,12216444106.6705,2660929141.87259,1717709687.53169,6394091223
2020-12-08,12366730872.5029,2660929141.87259,1718290837.53169,6394204065
2020-12-09,12367173908.4264,2660997804.59259,1718332841.85401,6394204065
2020-12-10,12367202178.145,2660997804.59259,1718533442.77764,6399170688
2020-12-11,12721924089.6944,2763661084.34639,1729618904.57878,6399170688
2020-12-14,12721929037.5674,2763661084.34639,1729618904.57878,6399717004
2020-12-15,12721929037.5674,2766700584.34639,1729618904.57878,6399717004
2020-12-16,12722002087.5674,2766700584.34639,1729618904.57878,6400197338
2020-12-17,12722008673.5947,2766798172.73599,1729618904.57878,6407915803
2020-12-18,12722123736.754,2766798172.73599,1729618904.57878,6411500032
2020-12-21,12722123736.754,2766798172.73599,1729618904.57878,6412242752
2020-12-23,12722123736.754,2766798172.73599,1729618904.57878,6413849414
2020-12-31,12722123736.754,2766798172.73599,1730537157.04278,6413849414
2021-01-05,12722123736.754,2766798172.73599,1730537157.04278,6417633984
2021-12-31,12732719761.754,2781793987.49199,1743465363.02678,6417633984
